CNN,zone
12284201,F
12285101,F
12285201,F
12286101,F
12286201,F
12287101,F
12287201,F
12288101,F
12288201,F
12289101,F
12289102,F
12289201,F
12289202,F
12289203,F
1229000,F
12296000,D
12297000,D
12298000,D
12299000,D
123000,C
1230000,F
12301000,D
12302000,D
12303000,D
12304000,D
12305000,D
12306000,D
12307000,D
12308000,D
12309000,D
1231000,F
12310000,D
12311000,D
12312000,D
12313000,C
12314000,C
12315000,B
12316000,A
12317000,B
12318001,B
12318002,B
12320000,B
12321000,A
12322000,B
12323000,A
12324000,A
12325000,A
12326000,A
12327000,B
12328000,B
12329000,A
1233000,E
12330000,B
12331000,A
12332000,A
12333000,A
12334000,B
12335000,A
12336000,A
12337000,A
12338000,A
12339000,A
12340000,A
12341000,C
12342000,C
12343000,C
12344000,C
12345000,C
12346000,C
12347000,D
12348000,D
12349000,D
12350000,D
12351000,D
12352000,D
12353000,D
12354000,D
12355000,D
12356000,D
12357000,D
12358000,D
12359000,D
1236000,E
12360000,D
12361000,D
12362000,F
12364000,F
12365000,F
12368000,C
1237000,E
12370000,E
12371000,E
12372000,C
12374000,B
12379000,F
12380000,F
12381000,F
12382000,F
12383000,F
12384000,F
12385000,F
12386000,F
12387000,F
12388000,F
12389000,F
12390000,F
12391000,F
12392000,F
12393000,F
12394000,F
12395000,F
12396000,F
12397000,F
12398000,F
12399000,F
124000,C
1240000,E
12400000,F
12401000,F
12402000,F
12403000,F
12404000,F
12405000,F
12406000,F
12407000,F
12408000,F
12409000,F
1241000,E
12410000,F
12411000,F
12417000,F
1242000,E
12422000,F
12423000,F
12424000,F
12425000,B
12426000,B
12427000,B
12428000,B
12429000,B
12430000,B
12431000,B
12432000,B
12434000,B
12435000,B
12436000,B
12437000,A
12438000,A
12439000,A
1244000,E
12440000,A
12441000,A
12442000,A
12443000,A
12444000,A
12445000,A
12446000,A
12447000,A
12448000,A
12449000,A
1245000,E
12450000,A
12451000,A
12452000,A
12453000,A
12454000,A
12455000,A
12456000,A
12457000,A
12458000,A
12459000,A
1246000,E
12460000,A
12461000,A
12462000,A
12463000,A
12464000,A
12465000,A
12467000,E
12468000,E
