BOTANICAL,OBJECTID,"pruning_years"
"Leptospermum petersonii",308,5
"Leucadendron argenteum",312,5
"Magnolia stellata",340,5
"Melaleuca decora",349,5
"Meryta sinclairii",357,5
"Metrosideros collina 'Springfire'",359,5
"Paulownia tomentosa",377,5
"Phoenix reclinata",382,3
"Picea species",391,5
"Pinus species",403,7
"Platanus occidentalis",415,5
"Populus species",428,5
"Populus trichocarpa",430,5
"Protea cynaroides",432,5
"Quercus wislizenii",496,5
"Radermachera sinica",498,5
"Sambucus neomexicana",522,5
"Sambucus species",524,5
"Schefflera actinophylla",526,5
"Schinus polygamus",529,5
"Styrax japonicus",539,5
"Tecoma capensis",551,5
"Tecoma stans",552,5
"Tilia cordata 'Greenspire'",561,5
"Triadica sebifera",565,5
"Trithrinax acanthocoma",568,5
"Xanthorrhoea preissii",593,5
"Xylosma congestum",594,5
"Yucca rostrata",600,5
"Abies procera",3,5
"Acer negundo",22,5
"Acer paxii",26,5
"Acer plantanoides",27,5
"Acer platanoides 'Crimson King'",28,5
"Acer pseudoplatanus",29,5
"Acer tegmentosum",34,5
"Adenanthos sericeus",36,"not a tree"
"Agave attenuata",43,"not a tree"
"Albizia julibrissin 'Summer Chocolate'",49,5
"Aloe arborescens",52,"not a tree"
"Araucaria araucana",55,7
"Auranticarpa rhombifolia",65,5
"Azara dentata",66,5
"Beaucarnea recurvata",73,5
"Bougainvillea spectabilis",79,"not a tree"
"Brahea brandegeei",85,3
"Buxus sempervirens",92,"not a tree"
"Callistemon 'Little Gem'",94,5
"Callistemon rigidus",96,5
"Carya illinoinensis",104,5
"Cedrela fissilis",112,5
"Cedrus deodara 'Blue Snake'",115,7
"Cedrus libani",117,5
"Ceiba insignis",118,5
"Cercidiphyllum japonicum",125,5
"Cercocarpus betuloides",130,5
"Cestrum parqui",131,"not a tree"
"Chamaecyparis lawsoniana",132,5
"Citrus maxima",146,5
"Citrus reticulata",147,5
"Citrus species",149,5
"Cornus nuttallii",155,5
"Diospyros virginiana",188,5
"Dracaena dermensis",191,5
"Dypsis decaryi",195,5
"Erythrina caffra",201,5
"Eucalyptus cinerea",206,5
"Eucalyptus cladocalyx",207,5
"Eucalyptus erythrocorys",210,5
"Eucalyptus leucoxylon megalocarpa 'Rosea'",216,5
"Eucalyptus robusta",221,5
"Eucalyptus torquata",226,5
"Euphorbia ingens",229,5
"Ficus macrophylla",235,3
"Ficus virens",241,3
"Fortunella margarita 'Centennial'",243,5
"Fraxinus griffithii",247,5
"Ginkgo biloba 'Autumn Gold'",262,5
"Hamamelis x intermedia",272,5
"Holodiscus discolor",275,"not a tree"
"Juglans hindsii",286,5
"Juniperus californica",290,7
"Juniperus silicicola",294,7
"Koelreuteria elegans subsp. formosana",297,3
"Lagerstroemia speciosa",300,5
"Lagerstroemia x 'Natchez'",302,5
"Lagerstroemia x 'Tuscarora'",303,5
"Leucadendron 'Safari Sunset'",311,"not a tree"
"Livistona chinensis",323,5
"Loropetalum chinense",325,5
"Macadamia tetraphylla",329,5
"Magnolia virginiana",341,5
"Mangifera indica",346,5
"Moringa oleifera",361,5
"Morus alba 'Cooke's Pakistan'",363,5
"Myrica californica",367,5
"Myrtus communis 'Variegata'",368,5
"Phoenix rupicola",384,3
"Picea pungens",389,7
"Pinus brutia var. eldarica",392,7
"Pinus contorta",394,7
"Pinus contorta var. murrayana",395,7
"Pinus elliottii",397,7
"Pinus strobus",404,7
"Pinus sylvestris",405,7
"Poncirus trifoliata",423,5
"Populus deltoides",425,5
"Prunus americana",433,5
"Prunus campanulata",436,5
"Prunus emarginata",443,5
"Prunus persica var. nucipersica",449,5
"Prunus serotina",451,5
"Prunus x yedoensis eAkebonoe",461,5
"Prunus x yedoensis fAkebono",462,5
"Prunus x yedoensis fAkebonol",463,5
"Prunus x yedoensis hAkebono",464,5
"Pseudopanax lessonii",465,5
"Pyrus pyrifolia",482,5
"Quercus douglasii",485,5
"Quercus engelmannii",486,5
"Quercus robur",490,5
"Rhamnus alaternus 'Variegata'",500,5
"Rhamnus californica 'Eve Case'",502,5
"Rhaphiolepis indica",504,5
"Rhapis excelsa",505,"not a tree"
"Rhopalostylis sapida",508,5
"Rhus typhina 'Dissecta'",510,5
"Sabal species",513,5
"Salix gooddingii",516,5
"Salix nigra",520,5
"Salix species",521,5
"Stenocarpus sinuatus",534,5
"Syringa reticulata",541,5
"Syringa reticulata 'Ivory Silk'",542,5
"Taxodium distichum",547,5
"Torreya californica",563,5
"Ulmus crassifolia",570,3
"Ulmus parvifolia 'Athena'",572,3
"Ulmus procera",574,3
"Wodyetia bifurcata",592,5
